House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
16,Orchard Forges,Ruth,Frost,59,Head,Married,Female,Armed forces technical officer,None,Christian
16,Orchard Forges,Harry,Frost,57,Husband,Married,Male,Conference centre manager,None,None
17,Orchard Forges,Amanda,Smith,38,Head,Married,Female,"Engineer, land",None,Christian
17,Orchard Forges,Leigh,Smith,38,Husband,Married,Male,"Scientist, research (life sciences)",None,Christian
17,Orchard Forges,Jemma,Smith,11,Daughter,NA,Female,Student,None,NA
18,Orchard Forges,Joyce,Hudson,35,Head,Single,Female,Intelligence analyst,None,None
18,Orchard Forges,Dean,Mistry,39,Partner,Single,Male,Technical brewer,None,None
19,Orchard Forges,Claire,Hall,21,Head,Single,Female,University Student,None,None
19,Orchard Forges,Gregory,Kelly,22,Partner,Single,Male,University Student,None,None
20,Orchard Forges,Carol,Evans,77,Head,Widowed,Female,"Retired Buyer, industrial",None,Methodist
20,Orchard Forges,Raymond,Talbot-Evans,17,Grandson,NA,Male,Student,None,NA
21,Orchard Forges,Melanie,Miles,30,Head,Single,Female,"Sound technician, broadcasting/film/video",None,Jewish
21,Orchard Forges,Robin,Mitchell,31,None,Single,Male,Insurance account manager,None,None
21,Orchard Forges,Josephine,Jones,54,None,Single,Female,Music therapist,None,None
22,Orchard Forges,Paul,Bishop,59,Head,Single,Male,IT trainer,None,Christian
22,Orchard Forges,Jane,Brown,60,None,Single,Female,Photographer,None,Christian
22,Orchard Forges,Connor,Turner,56,None,Single,Male,Adult guidance worker,None,Catholic
23,Orchard Forges,Jessica,Grant,33,Head,Widowed,Female,Unemployed,None,None
23,Orchard Forges,Grace,Grant,3,Daughter,NA,Female,Child,None,NA
24,Orchard Forges,George,Byrne,22,Head,Single,Male,University Student,None,Methodist
25,Orchard Forges,Brenda,Burton,51,Head,Married,Female,Animal nutritionist,None,Catholic
25,Orchard Forges,Josh,Burton,50,Husband,Married,Male,Race relations officer,None,None
25,Orchard Forges,Georgia,Burton,22,Daughter,Single,Female,University Student,None,Catholic
25,Orchard Forges,Keith,Burton,21,Son,Single,Male,University Student,None,None
25,Orchard Forges,Jamie,Burton,18,Son,Single,Male,Student,None,Catholic
25,Orchard Forges,Stephen,Burton,14,Son,NA,Male,Student,None,NA
26,Orchard Forges,Marian,Mason,71,Head,Single,Female,Retired Quarry manager,None,Christian
26,Orchard Forges,Brian,Mason,8,Grandson,NA,Male,Student,None,NA
27,Orchard Forges,Lauren,Owen,64,Head,Married,Female,"Surveyor, building",None,None
27,Orchard Forges,James,Owen,64,Husband,Married,Male,Medical laboratory scientific officer,None,None
27,Orchard Forges,Sylvia,Owen,30,Daughter,Single,Female,Cabin crew,None,None
27,Orchard Forges,Eileen,Owen,27,Daughter,Single,Female,Archivist,None,None
27,Orchard Forges,Michael,Owen,24,Son,Single,Male,Ship broker,None,None
28,Orchard Forges,Grace,Chapman,50,Head,Married,Female,"Designer, television/film set",None,None
28,Orchard Forges,Carl,Chapman,52,Husband,Married,Male,Gaffer,None,None
28,Orchard Forges,Carol,Chapman,16,Daughter,NA,Female,Student,None,NA
29,Orchard Forges,Fiona,Thompson,70,Head,Widowed,Female,Unemployed,None,None
29,Orchard Forges,Dylan,Thompson,36,Son,Single,Male,Press sub,None,None
30,Orchard Forges,Laura,Edwards,47,Head,Married,Female,Energy manager,None,Christian
30,Orchard Forges,Reece,Edwards,46,Husband,Married,Male,Magazine journalist,None,None
30,Orchard Forges,Bruce,Edwards,18,Son,Single,Male,Student,None,None
30,Orchard Forges,Christopher,Edwards,15,Son,NA,Male,Student,None,NA
30,Orchard Forges,Carly,Austin-Edwards,15,Daughter,NA,Female,Student,None,NA
31,Orchard Forges,Chelsea,Smith,52,Head,Single,Female,Unemployed,None,Christian
31,Orchard Forges,Aaron,Black,52,Partner,Single,Male,"Teacher, music",None,None
32,Orchard Forges,Dennis,Kent,43,Head,Single,Male,"Librarian, academic",None,Christian
33,Orchard Forges,Alexander,Kaur,56,Head,Married,Male,Brewing technologist,None,Catholic
33,Orchard Forges, ,Kaur,50,Wife,Married,Female,Research scientist (physical sciences),None,Catholic
34,Orchard Forges,Vanessa,Stevens,59,Head,Married,Female,Unemployed,None,Methodist
34,Orchard Forges,Shaun,Stevens,59,Husband,Married,Male,Hospital doctor,None,Methodist
35,Orchard Forges,Samantha,Dennis,47,Head,Married,Female,Stage manager,None,None
35,Orchard Forges,Darren,Dennis,50,Husband,Married,Male,"Surveyor, commercial/residential",None,None
36,Orchard Forges,Eleanor,Morgan,69,Head,Married,Female,Unemployed,None,Christian
36,Orchard Forges,Dominic,Morgan,70,Husband,Married,Male,"Retired Production designer, theatre/television/film",None,Christian
37,Orchard Forges,Naomi,Davies,61,Head,Married,Female,Youth worker,None,Christian
37,Orchard Forges,Gavin,Davies,63,Husband,Married,Male,Geophysicist/field seismologist,None,None
38,Orchard Forges,Ashley,Brown,29,Head,Single,Male,Broadcast journalist,None,None
39,Orchard Forges,Howard,Wright-Davies,70,Head,Married,Male,Retired Set designer,None,Catholic
39,Orchard Forges,Kate,Wright-Davies,68,Wife,Married,Female,"Retired Scientist, research (maths)",None,Catholic
40,Orchard Forges,Harry,Griffiths,68,Head,Widowed,Male,Retired Accounting technician,None,None
40,Orchard Forges,Maureen,Griffiths,38,Daughter,Divorced,Female,Financial planner,None,None
41,Orchard Forges,Robin,Fowler,59,Head,Married,Male,Proofreader,None,Christian
41,Orchard Forges,Rachel,Fowler,55,Wife,Married,Female,Early years teacher,None,Christian
42,Orchard Forges,Natalie,Houghton,84,Head,Married,Female,"Retired Sound technician, broadcasting/film/video",None,Christian
42,Orchard Forges,Brian,Houghton,88,Husband,Married,Male,Retired Illustrator,None,Christian
43,Orchard Forges,Megan,Sheppard,44,Head,Divorced,Female,Recruitment consultant,None,Catholic
44,Orchard Forges,Elizabeth,Hancock,35,Head,Married,Female,Chartered certified accountant,None,Methodist
44,Orchard Forges,Elliot,Hancock,38,Husband,Married,Male,Product designer,None,None
45,Orchard Forges,Keith,Watson,34,Head,Married,Male,"Scientist, product/process development",None,None
45,Orchard Forges,Claire,Watson,28,Wife,Married,Female,Nutritional therapist,None,None
46,Orchard Forges,Katherine,Dodd,36,Head,Married,Female,Surgeon,None,Catholic
46,Orchard Forges,Vincent,Dodd,42,Husband,Married,Male,Magazine journalist,None,None
46,Orchard Forges,Geoffrey,Dodd,10,Son,NA,Male,Student,None,NA
47,Orchard Forges,Iain,Parker,47,Head,Married,Male,Youth worker,None,Catholic
47,Orchard Forges,Marilyn,Parker,46,Wife,Married,Female,Aeronautical engineer,None,None
48,Orchard Forges,Beverley,King,43,Head,Married,Female,Sports administrator,None,None
48,Orchard Forges,Keith,King,45,Husband,Married,Male,IT trainer,None,None
1,Conifer Walks,Jill,Leach,71,Head,Married,Female,Retired Psychotherapist,None,Methodist
1,Conifer Walks,Leigh,Leach,73,Husband,Married,Male,"Retired Therapist, music",None,Methodist
2,Conifer Walks,Rosie,Shah,44,Head,Married,Female,Sports coach,None,Methodist
2,Conifer Walks,Billy,Shah,47,Husband,Married,Male,IT sales professional,None,Methodist
2,Conifer Walks,Max,Sykes,20,Sibling,Single,Male,University Student,None,Catholic
2,Conifer Walks,Natalie,Walker,24,Lodger,Divorced,Female,Animal technologist,None,None
2,Conifer Walks,Jordan,Gardner,29,Lodger,Widowed,Male,Unemployed,None,Catholic
3,Conifer Walks,Adrian,Clarke,66,Head,Married,Male,Barrister's clerk,None,None
3,Conifer Walks,Shirley,Clarke,61,Wife,Married,Female,"Therapist, art",None,None
4,Conifer Walks,Arthur,Anderson,73,Head,Divorced,Male,"Retired Engineer, electronics",None,Christian
5,Conifer Walks,Kim,Wall,48,Head,Married,Female,"Scientist, water quality",None,Catholic
5,Conifer Walks,Lawrence,Wall,55,Husband,Married,Male,"Research officer, political party",None,None
5,Conifer Walks,Toby,Wall,24,Son,Single,Male,"Designer, textile",None,Catholic
5,Conifer Walks,Marie,Wall,20,Daughter,Single,Female,University Student,None,Catholic
5,Conifer Walks,Valerie,Wall,12,Daughter,NA,Female,Student,None,NA
6,Conifer Walks,Leah,Woods,46,Head,Divorced,Female,Legal secretary,None,Methodist
6,Conifer Walks,Sara,Moore-Woods,21,Daughter,Divorced,Female,University Student,None,None
7,Conifer Walks,Kieran,Crawford,68,Head,Widowed,Male,Retired Garment/textile technologist,None,None
8,Conifer Walks,Valerie,Hall,53,Head,Widowed,Female,Lexicographer,None,None
8,Conifer Walks,Marilyn,Morris,24,Daughter,Single,Female,Operational researcher,None,None
9,Conifer Walks,Julia,Andrews,66,Head,Married,Female,Unemployed,None,Catholic
9,Conifer Walks,Gregory,Andrews,69,Husband,Married,Male,"Retired Horticulturist, commercial",None,None
10,Conifer Walks,Kenneth,Cooper,25,Head,Married,Male,Unemployed,None,Sikh
10,Conifer Walks,Diana,Cooper,21,Wife,Married,Female,University Student,None,Sikh
10,Conifer Walks,Amy,Cooper,5,Daughter,NA,Female,Student,None,NA
11,Conifer Walks,Christian,Cooper,62,Head,Married,Male,"Scientist, research (medical)",None,Methodist
11,Conifer Walks,Heather,Cooper,59,Wife,Married,Female,"Therapist, occupational",None,Methodist
12,Conifer Walks,Clare,Roberts,27,Head,Widowed,Female,Broadcast journalist,None,Christian
12,Conifer Walks,Lucy,James,35,Lodger,Single,Female,Hospital pharmacist,None,Catholic
13,Conifer Walks,Andrea,Freeman,72,Head,Divorced,Female,Retired Associate Professor,None,Christian
13,Conifer Walks,Hayley,Freeman,28,Daughter,Single,Female,"Engineer, communications",None,Christian
14,Conifer Walks,Chloe,Pearson,40,Head,Divorced,Female,Unemployed,None,None
14,Conifer Walks,Max,Pearson,2,Son,NA,Male,Child,None,NA
15,Conifer Walks,Elliott,Bennett,70,Head,Married,Male,"Retired Secretary, company",None,Methodist
15,Conifer Walks,Hollie,Bennett,66,Wife,Married,Female,Tree surgeon,None,None
16,Conifer Walks,Brandon,Smith,52,Head,Single,Male,Leisure centre manager,None,None
16,Conifer Walks,Louise,Gilbert,36,None,Single,Female,Travel agency manager,None,Catholic
16,Conifer Walks,Jonathan,Jones,26,None,Single,Male,Charity officer,None,None
17,Conifer Walks,Sarah,Hutchinson,19,Head,Widowed,Female,University Student,None,None
18,Conifer Walks,Darren,Owen,47,Head,Married,Male,Petroleum engineer,None,Catholic
18,Conifer Walks,Megan,Owen,45,Wife,Married,Female,Chartered legal executive (England and Wales),None,Catholic
19,Conifer Walks,Paige,Kaur,36,Head,Single,Female,Sport and exercise psychologist,None,Catholic
19,Conifer Walks,Joel,Day,38,Partner,Single,Male,"Engineer, energy",None,Catholic
20,Conifer Walks,Jasmine,Sutton,55,Head,Single,Female,"Surveyor, building",None,Christian
20,Conifer Walks,Anna,Webster,43,None,Single,Female,Unemployed,None,Methodist
20,Conifer Walks,Leanne,Thorpe,50,None,Single,Female,Health and safety adviser,None,Catholic
20,Conifer Walks,Trevor,Rice,29,None,Single,Male,Colour technologist,Mental Disability,Catholic
21,Conifer Walks,Sophie,Bentley,42,Head,Divorced,Female,Advertising account planner,None,None
21,Conifer Walks,Joe,Cox-Bentley,3,Son,NA,Male,Child,None,NA
22,Conifer Walks,Carolyn,Hurst,42,Head,Single,Female,Radiation protection practitioner,None,Catholic
23,Conifer Walks,Andrea,Charlton,28,Head,Single,Female,Energy engineer,None,None
23,Conifer Walks,Marion,Ward,63,Lodger,Single,Female,"Designer, jewellery",None,None
23,Conifer Walks,Yvonne,Scott,51,Lodger,Single,Female,Photographer,None,Christian
23,Conifer Walks,Fiona,Khan,39,Lodger,Single,Female,Site engineer,None,Christian
23,Conifer Walks,Fiona,Sutton,29,Lodger,Single,Female,Personal assistant,None,None
24,Conifer Walks,Susan,Wade,39,Head,Single,Female,Recruitment consultant,None,None
24,Conifer Walks,Peter,Baldwin,40,Partner,Single,Male,"Chemist, analytical",None,None
24,Conifer Walks,Charlene,Wade,8,Daughter,NA,Female,Student,None,NA
25,Conifer Walks,Jodie,Evans,61,Head,Single,Female,Contracting civil engineer,None,None
25,Conifer Walks,Ben,Duffy,63,Partner,Single,Male,Civil Service administrator,None,None
26,Conifer Walks,Paula,Newton,35,Head,Married,Female,Meteorologist,None,Methodist
26,Conifer Walks,Maurice,Newton,38,Husband,Married,Male,Oceanographer,None,None
27,Conifer Walks,Angela,Stevenson,56,Head,Married,Female,"Accountant, chartered",None,None
27,Conifer Walks,Marcus,Stevenson,54,Husband,Married,Male,Secondary school teacher,None,None
27,Conifer Walks,Chelsea,Stevenson,21,Daughter,Single,Female,"Surveyor, planning and development",None,None
28,Conifer Walks,John,Morris,48,Head,Married,Male,"Geologist, engineering",None,Catholic
28,Conifer Walks,Dawn,Morris,41,Wife,Married,Female,Site engineer,None,Catholic
29,Conifer Walks,Kim,James,58,Head,Single,Female,Geographical information systems officer,None,Christian
30,Conifer Walks,Marc,Booth,88,Head,Married,Male,"Retired Buyer, retail",None,Catholic
30,Conifer Walks,Lydia,Booth,81,Wife,Married,Female,Retired Medical laboratory scientific officer,None,None
31,Conifer Walks,Dylan,Smith,45,Head,Divorced,Male,Landscape architect,None,None
31,Conifer Walks,Janice,Smith,10,Daughter,NA,Female,Student,None,NA
32,Conifer Walks,Amanda,Chapman,59,Head,Married,Female,"Engineer, agricultural",None,Methodist
32,Conifer Walks,Damian,Chapman,65,Husband,Married,Male,Conference centre manager,None,Methodist
33,Conifer Walks,Carolyn,Dawson-Griffiths,43,Head,Divorced,Female,Unemployed,None,None
33,Conifer Walks,Leon,Dawson-Griffiths,17,Son,NA,Male,Student,None,NA
34,Conifer Walks,Graham,Smith,21,Head,Single,Male,University Student,None,None
34,Conifer Walks,Emily,Baker,21,None,Single,Female,University Student,None,Christian
34,Conifer Walks,Anna,Oliver,37,None,Single,Female,Advertising copywriter,None,None
35,Conifer Walks,Chelsea,Miles,29,Head,Single,Female,Company secretary,None,Christian
35,Conifer Walks,Deborah,Taylor,62,None,Single,Female,Multimedia programmer,None,Christian
36,Conifer Walks,Heather,Jennings,77,Head,Divorced,Female,Retired IT trainer,None,Methodist
37,Conifer Walks,Joan,Sheppard,43,Head,Single,Female,"Programme researcher, broadcasting/film/video",None,None
37,Conifer Walks,Robin,Sharp,54,None,Single,Male,Theme park manager,None,Christian
37,Conifer Walks,Lynn,Young,39,None,Single,Female,Corporate investment banker,None,Catholic
37,Conifer Walks,Sylvia,Simmons,48,None,Single,Female,Geophysicist/field seismologist,None,Christian
37,Conifer Walks,Linda,Webb,22,None,Single,Female,University Student,None,Christian
38,Conifer Walks,Abigail,Stone,40,Head,Single,Female,"Doctor, hospital",None,None
38,Conifer Walks,Adrian,Hughes,40,Partner,Single,Male,"Therapist, music",None,None
38,Conifer Walks,Nathan,Stone,16,Son,NA,Male,Student,None,NA
38,Conifer Walks,Nicole,Stone,13,Daughter,NA,Female,Student,None,NA
38,Conifer Walks,Josh,Stone,4,Son,NA,Male,Child,None,NA
39,Conifer Walks,Deborah,Holt,81,Head,Married,Female,Retired Retail manager,None,Methodist
39,Conifer Walks,Jack,Holt,81,Husband,Married,Male,"Retired Administrator, arts",None,Methodist
40,Conifer Walks,Chelsea,Jones,33,Head,Single,Female,Unemployed,None,Methodist
40,Conifer Walks,Glen,Lucas,34,Partner,Single,Male,"Nurse, adult",None,Methodist
41,Conifer Walks,Anna,Newton,26,Head,Married,Female,Production engineer,None,None
41,Conifer Walks,Declan,Newton,27,Husband,Married,Male,Dramatherapist,None,None
41,Conifer Walks,Helen,Newton,3,Daughter,NA,Female,Child,None,NA
42,Conifer Walks,Norman,Morgan,85,Head,Widowed,Male,Retired Conference centre manager,None,Christian
43,Conifer Walks,Julian,Jones,60,Head,Single,Male,Phytotherapist,None,Christian
44,Conifer Walks,Joanna,Carter,22,Head,Married,Female,University Student,None,None
44,Conifer Walks,Thomas,Carter,23,Husband,Married,Male,Tax inspector,None,None
44,Conifer Walks,Carole,Roberts-Carter,5,Daughter,NA,Female,Student,None,NA
44,Conifer Walks,Nicholas,Roberts-Carter,1,Son,NA,Male,Child,None,NA
44,Conifer Walks,Liam,Smith,43,Lodger,Single,Male,"Designer, fashion/clothing",None,Christian
45,Conifer Walks,Bethany,Cooper,38,Head,Single,Female,"Teacher, music",None,Christian
45,Conifer Walks,Gerald,Woods,38,Partner,Single,Male,"Physicist, medical",None,None
45,Conifer Walks,Anna,Marshall,2,Daughter,NA,Female,Child,None,NA
45,Conifer Walks,Tom,Marshall,2,Son,NA,Male,Child,None,NA
46,Conifer Walks,Hugh,Sanderson,60,Head,Single,Male,Fish farm manager,None,Christian
46,Conifer Walks,Rita,White,57,Partner,Single,Female,Unemployed,None,None
47,Conifer Walks,Joel,Davies,52,Head,Divorced,Male,Unemployed,None,Christian
47,Conifer Walks,Julian,Perry,54,None,Single,Male,Unemployed,None,Christian
47,Conifer Walks,Toby,Holmes,21,None,Single,Male,University Student,None,Christian
47,Conifer Walks,Cameron,Morgan,28,None,Single,Male,Site engineer,None,Christian
47,Conifer Walks,Dylan,Kent,54,None,Single,Male,"Scientist, biomedical",None,Methodist
48,Conifer Walks,Jodie,Coleman,57,Head,Single,Female,Trade union research officer,None,None
49,Conifer Walks,Kelly,Rose,72,Head,Married,Female,"Retired Surveyor, rural practice",None,Christian
49,Conifer Walks,Graeme,Rose,72,Husband,Married,Male,Unemployed,None,Christian
50,Conifer Walks,Emma,Lane,38,Head,Single,Female,Community education officer,None,None
50,Conifer Walks,Melanie,Cole,34,None,Single,Female,Analytical chemist,None,Jewish
50,Conifer Walks,Robert,Gardiner,25,None,Single,Male,"Therapist, music",None,None
51,Conifer Walks,Joe,Cooke,80,Head,Married,Male,"Retired Therapist, drama",None,Christian
51,Conifer Walks,Barbara,Cooke,78,Wife,Married,Female,Retired Maintenance engineer,None,Christian
52,Conifer Walks,Sandra,Long,50,Head,Single,Female,Site engineer,Mental Disability,Christian
52,Conifer Walks,Martin,Miller,53,Partner,Single,Male,Financial adviser,None,None
53,Conifer Walks,Keith,Hughes,58,Head,Single,Male,Unemployed,None,None
53,Conifer Walks,Shaun,Hughes,21,Son,Single,Male,University Student,None,None
53,Conifer Walks,Derek,Hughes,20,Son,Single,Male,University Student,None,None
53,Conifer Walks,Stewart,Hughes,20,Son,Single,Male,University Student,None,None
54,Conifer Walks,Jill,Patel,32,Head,Divorced,Female,Haematologist,None,None
54,Conifer Walks,Ashley,Patel,7,Son,NA,Male,Student,None,NA
55,Conifer Walks,Jenna,Wilkinson,52,Head,Single,Female,Adult nurse,None,Christian
55,Conifer Walks,Dean,Palmer,53,Partner,Single,Male,Neurosurgeon,None,Christian
56,Conifer Walks,Ruth,Evans,53,Head,Widowed,Female,Unemployed,None,None
56,Conifer Walks,Henry,Evans,17,Son,NA,Male,Student,None,NA
56,Conifer Walks,Leanne,Evans,16,Daughter,NA,Female,Student,None,NA
57,Conifer Walks,Heather,Gould,54,Head,Divorced,Female,Unemployed,None,None
57,Conifer Walks,Katie,Gould,22,Adopted Daughter,Divorced,Female,University Student,None,None
57,Conifer Walks,Mohammad,Gould,16,Son,NA,Male,Student,None,NA
57,Conifer Walks,Damian,Gould,14,Son,NA,Male,Student,None,NA
57,Conifer Walks,Antony,Smith-Gould,12,Son,NA,Male,Student,None,NA
58,Conifer Walks,Lynn,Cunningham,55,Head,Married,Female, ,None,Catholic
58,Conifer Walks,Albert,Cunningham,56,Husband,Married,Male,Financial trader,None,Christian
58,Conifer Walks,Christine,Cunningham,22,Daughter,Single,Female,University Student,None,Catholic
59,Conifer Walks,Alexandra,Morris,30,Head,Divorced,Female,Paramedic,None,None
59,Conifer Walks,Gregory,Morris,12,Son,NA,Male,Student,None,NA
59,Conifer Walks,Antony,Morris,9,Son,NA,Male,Student,None,NA
60,Conifer Walks,Charlene,Smith,55,Head,Married,Female,"Designer, multimedia",None,Catholic
60,Conifer Walks,Alan,Smith,59,Husband,Married,Male,"Conservation officer, nature",None,Catholic
60,Conifer Walks,Jeremy,Smith,18,Step-Son,Single,Male,Student,None,Catholic
60,Conifer Walks,Clive,Smith,16,Step-Son,NA,Male,Student,None,NA
60,Conifer Walks,Rhys,Smith,14,Step-Son,NA,Male,Student,None,NA
61,Conifer Walks,Jacqueline,Mitchell,26,Head,Single,Female,"Administrator, education",None,Sikh
61,Conifer Walks,Garry,Brennan,28,Partner,Single,Male,Health service manager,None, 
61,Conifer Walks,Bruce,Mitchell,9,Son,NA,Male,Student,None,NA
62,Conifer Walks,Christine,Russell,22,Head,Married,Female,University Student,None,Catholic
62,Conifer Walks,Kenneth,Russell,21,Husband,Married,Male,University Student,None,Catholic
63,Conifer Walks,Jake,Ross,54,Head,Single,Male,Chief Technology Officer,None,Catholic
64,Conifer Walks,Pauline,Phillips,66,Head,Married,Female,"Engineer, structural",None,Christian
64,Conifer Walks,Luke,Phillips,66,Husband,Married,Male,"Teacher, secondary school",None,Christian
64,Conifer Walks,Justin,Phillips,40,Son,Single,Male,IT sales professional,None,Christian
64,Conifer Walks,Craig,Phillips,37,Son,Single,Male,"Scientist, marine",None,Christian
64,Conifer Walks,Nicole,Phillips,37,Daughter,Single,Female,Company secretary,None,Christian
64,Conifer Walks,Owen,Phillips,33,Son,Single,Male,Printmaker,None,Christian
65,Conifer Walks,Sylvia,Goddard,20,Head,Married,Female,University Student,None,Christian
65,Conifer Walks,Kevin,Goddard,22,Husband,Married,Male,Primary school teacher,None,None
65,Conifer Walks,Mohammad,Goddard,3,Son,NA,Male,Child,None,NA
65,Conifer Walks,Sheila,Goddard,2,Daughter,NA,Female,Child,None,NA
65,Conifer Walks,Wayne,Goddard,0,Son,NA,Male,Child,None,NA
66,Conifer Walks,Lindsey,Newman,68,Head,Widowed,Female,Retired Geophysical data processor,None,None
66,Conifer Walks,Kelly,Newman,40,Daughter,Divorced,Female,Unemployed,None,None
67,Conifer Walks,Paula,Singh,60,Head,Single,Female,Unemployed,None,None
67,Conifer Walks,Eric,Singh,22,Son,Single,Male,University Student,None,None
68,Conifer Walks,Sylvia,Burton,41,Head,Single,Female,Fitness centre manager,None,Methodist
68,Conifer Walks,Terence,Burton,19,Son,Single,Male,University Student,None,Methodist
69,Conifer Walks,Wayne,Baker,56,Head,Married,Male,Farm manager,None,None
69,Conifer Walks,Julia,Baker,56,Wife,Married,Female,Customer service manager,None,None
70,Conifer Walks,Allan,Bailey,73,Head,Married,Male,Retired Product/process development scientist,None,Christian
70,Conifer Walks,Stephanie,Bailey,74,Wife,Married,Female,Retired Environmental health practitioner, ,Christian
71,Conifer Walks,Gavin,Richards,81,Head,Married,Male,Retired Futures trader,Unknown Infection,Methodist
71,Conifer Walks,Barbara,Richards,80,Wife,Married,Female,Retired Bonds trader,None,Methodist
72,Conifer Walks,Victor,Stephens,73,Head,Married,Male,"Retired Conservator, furniture",None,Christian
72,Conifer Walks,Leah,Stephens,73,Wife,Married,Female,Retired Financial trader,None,None
72,Conifer Walks,Gerald,Mason,12,Grandson,NA,Male,Student,None,NA
73,Conifer Walks,Rita,Griffiths,55,Head,Divorced,Female,Civil Service administrator,None,Christian
73,Conifer Walks,Lydia,Griffiths,10,Step-Daughter,NA,Female,Student,None,NA
74,Conifer Walks,Elliot,Jones,52,Head,Married,Male,Ophthalmologist,None,None
74,Conifer Walks,Ann,Jones,46,Wife,Married,Female,Sub,None,None
75,Conifer Walks,Rachael,Green,57,Head,Married,Female,Unemployed,None,Christian
75,Conifer Walks,Aaron,Green,61,Husband,Married,Male,"Psychologist, educational",None,Christian
75,Conifer Walks,Denise,Green,15,Daughter,NA,Female,Student,None,NA
75,Conifer Walks,Lynda,Green,9,Daughter,NA,Female,Student,None,NA
75,Conifer Walks,Janice,Green,7,Daughter,NA,Female,Student,None,NA
76,Conifer Walks,Jill,Leonard,44,Head,Single,Female,Unemployed,None,None
76,Conifer Walks,Megan,Leonard,8,Adopted Daughter,NA,Female,Student,None,NA
76,Conifer Walks,Kenneth,Austin-Leonard,4,Son,NA,Male,Child,None,NA
77,Conifer Walks,Danielle,Ahmed,66,Head,Married,Female,Clothing/textile technologist,None,Catholic
77,Conifer Walks,Thomas,Ahmed,62,Husband,Married,Male,Press photographer,None,None
77,Conifer Walks,Shaun,Doherty-Ahmed,44,Son,Single,Male,Homeopath,None,None
77,Conifer Walks,Alexander,Doherty-Ahmed,43,Son,Divorced,Male,Barrister,None,Catholic
78,Conifer Walks,Wayne,Morgan,54,Head,Married,Male,Medical sales representative,None,Catholic
78,Conifer Walks,Shirley,Morgan,54,Wife,Married,Female,Horticultural consultant,None,Catholic
79,Conifer Walks,Ellie,Scott,50,Head,Divorced,Female,Speech and language therapist,None,Christian
79,Conifer Walks,Ronald,Scott,22,Son,Single,Male,University Student,None,Christian
80,Conifer Walks,Lynn,Hill,41,Head,Married,Female,Scientific laboratory technician,None,None
80,Conifer Walks,Nathan,Hill,43,Husband,Married,Male,"Producer, radio",None,None
80,Conifer Walks,Tom,Hill,14,Son,NA,Male,Student,None,NA
80,Conifer Walks,Phillip,Hill,9,Son,NA,Male,Student,None,NA
81,Conifer Walks,Matthew,Begum,36,Head,Married,Male,Technical brewer,None,None
81,Conifer Walks,Christine,Fox,38,Wife,Married,Female,Probation officer,None,None
82,Conifer Walks,Melissa,Gray,42,Head,Married,Female,Database administrator,None,Methodist
82,Conifer Walks,Martin,Gray,48,Husband,Married,Male,"Engineer, maintenance",None,None
82,Conifer Walks,Katie,Gray,17,Daughter,NA,Female,Student,None,NA
83,Conifer Walks,Diana,O'Connor,30,Head,Married,Female,Energy manager,None,None
83,Conifer Walks,Barry,O'Connor,32,Husband,Married,Male,Animal technologist,None,None
83,Conifer Walks,Mohammed,Dawson,51,Lodger,Divorced,Male,"Programmer, applications",None,Catholic
84,Conifer Walks,Pamela,Coates,52,Head,Married,Female,Radiation protection practitioner,None,Methodist
84,Conifer Walks,Lee,Coates,55,Husband,Married,Male,Insurance risk surveyor,None,None
84,Conifer Walks,Annette,Coates,26,Daughter,Single,Female,Chief Strategy Officer,None,None
84,Conifer Walks,Leanne,Coates,13,Daughter,NA,Female,Student,None,NA
85,Conifer Walks,Holly,Wade,46,Head,Single,Female,Unemployed,None,None
85,Conifer Walks,Sophie,Wade,12,Daughter,NA,Female,Student,None,NA
85,Conifer Walks,Megan,Wade,11,Daughter,NA,Female,Student,None,NA
86,Conifer Walks,Dominic,Taylor,55,Head,Single,Male,Jewellery designer,None,Christian
86,Conifer Walks,Lindsey,Reed,8,Granddaughter,NA,Female,Student,None,NA
87,Conifer Walks,Barry,Bibi,38,Head,Married,Male,Ship broker,None,Christian
87,Conifer Walks,Lindsey,Bibi,36,Wife,Married,Female,Biomedical engineer,None,Christian
87,Conifer Walks,Bradley,Marsh,55,Lodger,Widowed,Male,Chiropractor,None,None
87,Conifer Walks,Jay,Dunn,38,Lodger,Single,Male,"Scientist, product/process development",None,None
87,Conifer Walks,William,Kay,54,Sibling,Single,Male,Cabin crew,None,None
88,Conifer Walks,Declan,North,89,Head,Married,Male,Retired Airline pilot,None,Catholic
88,Conifer Walks,Catherine,North,85,Wife,Married,Female,"Retired Nurse, learning disability",None,None
89,Conifer Walks,Brandon,Dixon,47,Head,Married,Male,Event organiser,None,None
89,Conifer Walks,Lauren,Dixon,43,Wife,Married,Female,Magazine journalist,None,None
90,Conifer Walks,Tracy,Edwards,49,Head,Married,Female,Personnel officer,None,Christian
90,Conifer Walks,Duncan,Edwards,51,Husband,Married,Male,"Loss adjuster, chartered",None,Christian
90,Conifer Walks,Adam,Edwards,15,Son,NA,Male,Student,None,NA
91,Conifer Walks,Catherine,Begum,51,Head,Married,Female,Paediatric nurse,None,Christian
91,Conifer Walks,Denis,Begum,55,Husband,Married,Male,"Surveyor, rural practice",None,Christian
